data,valor,categoria,departamento,ano,mes,trimestre,nivel_valor
2023-01-01,202,Marketing,C,2023,1,1,Médio
2023-01-02,535,Vendas,A,2023,1,1,Alto
2023-01-03,960,TI,C,2023,1,1,Alto
2023-01-04,370,Vendas,B,2023,1,1,Médio
2023-01-05,206,Vendas,A,2023,1,1,Médio
2023-01-06,171,Marketing,C,2023,1,1,Baixo
2023-01-07,800,RH,C,2023,1,1,Alto
2023-01-08,120,Marketing,B,2023,1,1,Baixo
2023-01-09,714,Marketing,A,2023,1,1,Alto
2023-01-10,221,Marketing,A,2023,1,1,Médio
2023-01-11,566,Marketing,C,2023,1,1,Alto
2023-01-12,314,TI,A,2023,1,1,Médio
2023-01-13,430,RH,C,2023,1,1,Médio
2023-01-14,558,Vendas,A,2023,1,1,Alto
2023-01-15,187,Vendas,C,2023,1,1,Baixo
2023-01-16,472,RH,A,2023,1,1,Médio
2023-01-17,199,Vendas,B,2023,1,1,Baixo
2023-01-18,971,RH,A,2023,1,1,Alto
2023-01-19,763,Vendas,A,2023,1,1,Alto
2023-01-20,230,Marketing,B,2023,1,1,Médio
2023-01-21,761,Vendas,A,2023,1,1,Alto
2023-01-22,408,RH,B,2023,1,1,Médio
2023-01-23,869,RH,A,2023,1,1,Alto
2023-01-24,443,RH,C,2023,1,1,Médio
2023-01-25,591,RH,C,2023,1,1,Alto
2023-01-26,513,RH,A,2023,1,1,Alto
2023-01-27,905,TI,A,2023,1,1,Alto
2023-01-28,485,TI,A,2023,1,1,Médio
2023-01-29,291,Vendas,C,2023,1,1,Médio
2023-01-30,376,RH,A,2023,1,1,Médio
2023-01-31,260,Vendas,C,2023,1,1,Médio
2023-02-01,559,RH,B,2023,2,1,Alto
2023-02-02,413,RH,C,2023,2,1,Médio
2023-02-03,121,TI,C,2023,2,1,Baixo
2023-02-04,352,TI,B,2023,2,1,Médio
2023-02-05,847,Marketing,C,2023,2,1,Alto
2023-02-06,956,TI,A,2023,2,1,Alto
2023-02-07,660,Marketing,A,2023,2,1,Alto
2023-02-08,574,Marketing,C,2023,2,1,Alto
2023-02-09,158,Marketing,A,2023,2,1,Baixo
2023-02-10,610,Marketing,C,2023,2,1,Alto
2023-02-11,781,Marketing,A,2023,2,1,Alto
2023-02-12,575,Vendas,A,2023,2,1,Alto
2023-02-13,799,TI,C,2023,2,1,Alto
2023-02-14,882,Marketing,A,2023,2,1,Alto
2023-02-15,289,RH,C,2023,2,1,Médio
2023-02-16,786,TI,A,2023,2,1,Alto
2023-02-17,662,TI,A,2023,2,1,Alto
2023-02-18,975,Marketing,B,2023,2,1,Alto
2023-02-19,666,Vendas,B,2023,2,1,Alto
2023-02-20,343,Marketing,C,2023,2,1,Médio
2023-02-21,931,Vendas,B,2023,2,1,Alto
2023-02-22,604,RH,C,2023,2,1,Alto
2023-02-23,230,TI,B,2023,2,1,Médio
